image,lname,rname,correct
CFD-WF-248-129-N.jpg,PATRICIA,LISA,left
CFD-WF-243-148-N.jpg,COURTNEY,JANICE,right
CFD-WM-213-076-N.jpg,LUCAS,HARRY,right
CFD-WF-237-067-N.jpg,LISA,FIONA,left
CFD-WM-004-010-N.jpg,PETER,JAYDEN,right
CFD-WF-002-004-N.jpg,RACHEL,MARGARET,right
CFD-WF-222-092-N.jpg,JANICE,SCARLETT,right
CFD-WM-017-002-N.jpg,HARRISON,BRETT,right
CFD-WF-244-163-N.jpg,PATRICIA,MEGAN,right
CFD-WF-201-156-N.jpg,SCARLETT,RACHEL,right
CFD-WM-205-007-N.jpg,MICHAEL,BRETT,left
CFD-WM-029-023-N.jpg,STEVEN,PETER,right
CFD-WF-038-021-N.jpg,FIONA,KAREN,left
CFD-WM-006-002-N.jpg,JEFFREY,HARRISON,right
CFD-WM-216-061-N.jpg,AARON,JAYDEN,left
CFD-WM-210-057-N.jpg,AARON,LUCAS,right
CFD-WM-206-045-N.jpg,JEFFREY,MICHAEL,left
