image,lname,rname,correct
CFD-WF-215-145-N.jpg,EMMA,LAUREN,right
CFD-WM-255-219-N.jpg,GREGORY,JORDAN,left
CFD-WF-214-122-N.jpg,ANGELA,LAUREN,left
CFD-WM-035-032-N.jpg,GREGORY,BRETT,right
CFD-WM-256-138-N.jpg,BLAKE,WILLIAM,left
CFD-WM-032-001-N.jpg,BRETT,WILLIAM,right
CFD-WM-034-030-N.jpg,BLAKE,BRENTON,right
CFD-WM-021-001-N.jpg,JORDAN,BRENTON,left
CFD-WM-242-011-N.jpg,LACHLAN,RYAN,right
CFD-WF-030-002-N.jpg,JESSICA,MEGAN,left
CFD-WF-206-147-N.jpg,DANIELLE,MEGAN,right
CFD-WF-246-087-N.jpg,BELINDA,JESSICA,left
CFD-WF-232-161-N.jpg,BELINDA,EMMA,right
CFD-WF-037-029-N.jpg,DANIELLE,SOPHIE,left
